"ID","Region","Gender","Degree","Marital","Religion","Happy","Income","Politics","Marijuana","DeathPenalty","OwnGun","SpendMilitary","SpendEduc","SpendEnv","SpendSci","Pres04","Postlife"
30,"Mid-Atl","Male","HS","Separated","Protestant","NA","NA","Extremely liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
31,"Mid-Atl","Female","HS","Divorced","None","Pretty happy","Refused","Moderate","Legal","NA","Refused","Too much","Too little","Too much","NA","NA","NA"
32,"Mid-Atl","Female","HS","Separated","Catholic","NA","NA","Liberal","NA","NA","NA","NA","NA","NA","NA","NA","NA"
33,"Mid-Atl","Female","HS","Married","Protestant","NA","20000-22499","Moderate","NA","NA","NA","NA","NA","NA","NA","Nader","NA"
34,"Mid-Atl","Female","Bachelors","Divorced","Catholic","Pretty happy","8000-9999","Moderate","NA","Oppose","No","About right","About right","Too little","Too little","NA","Yes"
35,"Mid-Atl","Female","HS","Married","Jewish","Very happy","Refused","NA","Not legal","Favor","NA","NA","Too little","NA","NA","NA","NA"
36,"Mid-Atl","Female","HS","Divorced","Christian","NA","10000-124999","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
37,"Mid-Atl","Female","HS","Married","Jewish","NA","15000-17499","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
38,"Mid-Atl","Male","HS","Married","Catholic","Pretty happy","30000-34999","Moderate","Legal","Favor","No","NA","NA","NA","NA","NA","NA"
39,"Mid-Atl","Female","Graduate","Never Married","None","NA","Refused","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
40,"Mid-Atl","Female","Jr Col","Separated","Catholic","Not too happy","NA","Liberal","Legal","Favor","NA","Too much","Too little","Too little","Too little","Kerry","Yes"
41,"Mid-Atl","Female","Jr Col","Never Married","Protestant","Pretty happy","Refused","Moderate","Legal","Favor","NA","About right","Too little","Too little","Too little","NA","Yes"
42,"Mid-Atl","Male","Left HS","Married","None","NA","Refused","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
43,"Mid-Atl","Male","Bachelors","Married","Catholic","Pretty happy","40000-49999","Moderate","Not legal","NA","NA","NA","Too little","Too little","NA","NA","Yes"
44,"Mid-Atl","Male","Left HS","Widowed","Catholic","Pretty happy","NA","Moderate","Not legal","NA","NA","NA","NA","NA","Too little","Bush","Yes"
45,"Mid-Atl","Female","Bachelors","Never Married","Catholic","NA","75000-89999","Moderate","NA","NA","NA","NA","NA","NA","NA","Bush","NA"
46,"Mid-Atl","Female","Left HS","Divorced","Catholic","NA","NA","Slightly conservative","NA","NA","NA","NA","NA","NA","NA","Bush","NA"
47,"Mid-Atl","Male","Jr Col","Married","Protestant","Pretty happy","Refused","Moderate","Not legal","Favor","NA","NA","NA","NA","About right","Bush","Yes"
48,"Mid-Atl","Male","HS","Married","Catholic","NA","40000-49999","Moderate","NA","NA","NA","NA","NA","NA","NA","Bush","NA"
49,"Mid-Atl","Male","Left HS","Never Married","None","NA","6000-6999","Conservative","NA","NA","NA","NA","NA","NA","NA","NA","NA"
50,"Mid-Atl","Female","Left HS","Married","Catholic","NA","NA","Moderate","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
51,"Mid-Atl","Female","HS","Never Married","None","Pretty happy","Refused","Moderate","Legal","Oppose","NA","NA","NA","NA","Too much","NA","NA"
52,"Mid-Atl","Female","HS","Widowed","Catholic","Pretty happy","NA","Moderate","Legal","Oppose","NA","NA","NA","NA","Too little","Kerry","Yes"
53,"Mid-Atl","Female","HS","Married","Catholic","Very happy","15000-17499","Slightly liberal","Not legal","Oppose","No","About right","About right","Too little","About right","Didnt vote","No"
54,"Mid-Atl","Female","Graduate","Never Married","Catholic","Very happy","60000-74999","Liberal","Not legal","Oppose","No","NA","NA","NA","About right","Bush","Yes"
55,"Mid-Atl","Female","Bachelors","Never Married","Catholic","Pretty happy","75000-89999","Liberal","Legal","Oppose","NA","NA","NA","NA","Too little","Kerry","No"
56,"Mid-Atl","Female","Graduate","Widowed","Jewish","Pretty happy","Refused","Liberal","NA","Oppose","No","NA","NA","NA","Too little","Kerry","Yes"
57,"Mid-Atl","Male","Graduate","Never Married","NA","Very happy","Refused","Slightly liberal","NA","Oppose","No","Too much","Too little","Too little","About right","NA","Yes"
58,"Mid-Atl","Female","Graduate","Married","Jewish","Pretty happy","Refused","Moderate","NA","Favor","No","Too much","Too little","NA","Too little","Kerry","No"
59,"Mid-Atl","Male","Jr Col","Never Married","Catholic","Pretty happy","40000-49999","Liberal","Legal","NA","No","Too much","About right","Too little","About right","Kerry","Yes"
60,"Mid-Atl","Female","Jr Col","Never Married","None","NA","35000-39999","Liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
61,"Mid-Atl","Male","HS","Never Married","None","Pretty happy","17500-19999","Extremely liberal","Legal","Oppose","NA","NA","NA","NA","Too little","NA","NA"
62,"Mid-Atl","Male","Left HS","Divorced","None","Pretty happy","Refused","NA","NA","Favor","No","NA","About right","NA","NA","NA","NA"
63,"Mid-Atl","Male","Left HS","Married","Buddhism","NA","NA","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
64,"Mid-Atl","Male","Left HS","Married","Orthodox-Christian","NA","NA","Moderate","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
65,"Mid-Atl","Female","HS","Married","Catholic","Very happy","10000-124999","Moderate","Not legal","Favor","NA","NA","NA","NA","NA","NA","Yes"
66,"Mid-Atl","Female","Bachelors","Married","Protestant","Very happy","NA","Slightly conservative","Not legal","Favor","NA","NA","NA","NA","About right","NA","Yes"
67,"Mid-Atl","Male","HS","Divorced","Catholic","Pretty happy","40000-49999","Moderate","NA","NA","No","Too much","Too little","Too little","Too much","Kerry","NA"
68,"Mid-Atl","Female","Left HS","Married","Moslem/Islam","Very happy","NA","NA","Not legal","NA","NA","NA","About right","About right","NA","Kerry","Yes"
69,"Mid-Atl","Female","HS","Married","Hinduism","Pretty happy","NA","Moderate","Not legal","NA","NA","NA","Too little","NA","NA","Bush","NA"
70,"Mid-Atl","Male","HS","Divorced","None","Pretty happy","Refused","Moderate","NA","Favor","No","NA","NA","NA","Too little","NA","NA"
71,"Mid-Atl","Male","Bachelors","Married","None","Very happy","Refused","Liberal","Not legal","Favor","NA","NA","NA","NA","About right","Kerry","NA"
72,"Mid-Atl","Female","HS","Widowed","Jewish","Very happy","NA","Liberal","Not legal","NA","No","Too little","Too little","About right","NA","Kerry","No"
73,"Mid-Atl","Male","HS","Divorced","NA","Pretty happy","Refused","NA","NA","NA","Refused","NA","About right","NA","NA","NA","NA"
74,"Mid-Atl","Male","Bachelors","Married","Protestant","Pretty happy","NA","Moderate","Not legal","Favor","NA","NA","Too little","NA","About right","NA","Yes"
75,"Mid-Atl","Male","Bachelors","Married","Buddhism","NA","30000-34999","Slightly conservative","NA","NA","NA","NA","NA","NA","NA","Bush","NA"
76,"Mid-Atl","Female","Graduate","Married","Protestant","Pretty happy","NA","Extremely conservative","Not legal","Favor","NA","NA","NA","NA","Too much","NA","Yes"
77,"Mid-Atl","Male","Bachelors","Married","Jewish","Very happy","NA","Moderate","Not legal","Favor","NA","About right","Too little","About right","About right","NA","Yes"
78,"Mid-Atl","Female","HS","Married","Jewish","NA","NA","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
79,"Mid-Atl","Male","Bachelors","Divorced","Jewish","NA","NA","Extremely liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
80,"Mid-Atl","Female","Bachelors","Separated","Catholic","Very happy","Refused","Moderate","Not legal","Favor","NA","NA","NA","NA","Too little","NA","Yes"
81,"Mid-Atl","Male","Bachelors","Married","Protestant","Pretty happy","60000-74999","Conservative","NA","Favor","No","NA","NA","NA","About right","Bush","Yes"
82,"Mid-Atl","Female","HS","Married","Catholic","NA","25000-29999","Liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
83,"Mid-Atl","Female","Left HS","Never Married","None","Pretty happy","NA","Moderate","Not legal","Oppose","NA","NA","NA","NA","Too little","NA","Yes"
84,"Mid-Atl","Female","Bachelors","Married","Catholic","Very happy","NA","Moderate","NA","Oppose","No","About right","Too little","Too little","About right","Bush","Yes"
85,"Mid-Atl","Male","HS","Widowed","Catholic","Pretty happy","NA","Liberal","Not legal","Oppose","NA","NA","NA","NA","About right","NA","NA"
86,"New Engl","Female","Graduate","Married","None","Very happy","1000-2999","Moderate","NA","Favor","No","Too much","About right","Too little","Too little","NA","Yes"
87,"New Engl","Female","Bachelors","Widowed","Catholic","Very happy","NA","Moderate","Not legal","Favor","NA","Too much","About right","Too little","Too much","Bush","Yes"
88,"New Engl","Female","HS","Married","Catholic","Pretty happy","1000-2999","Slightly liberal","Not legal","Oppose","No","Too little","About right","Too little","Too little","NA","NA"
89,"New Engl","Male","Bachelors","Never Married","Protestant","Pretty happy","NA","Extremely conservative","NA","Favor","No","Too little","Too much","Too much","Too little","Bush","Yes"
90,"New Engl","Female","Left HS","Never Married","Protestant","Pretty happy","NA","Moderate","Not legal","Favor","Yes","NA","NA","NA","About right","NA","NA"
91,"New Engl","Female","Left HS","Widowed","Catholic","Pretty happy","NA","Moderate","NA","Favor","No","NA","NA","NA","About right","NA","Yes"
92,"Mid-Atl","Male","Bachelors","Married","Catholic","NA","40000-49999","Moderate","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
93,"Mid-Atl","Male","Left HS","Married","Catholic","Very happy","25000-29999","Moderate","Not legal","Favor","NA","NA","NA","NA","NA","NA","No"
94,"Mid-Atl","Male","HS","Married","Catholic","Pretty happy","NA","Slightly liberal","Not legal","Oppose","No","NA","NA","NA","Too little","Kerry","NA"
95,"Mid-Atl","Female","HS","Married","Jewish","Very happy","NA","Moderate","NA","Favor","No","NA","NA","NA","Too little","Kerry","Yes"
96,"Mid-Atl","Female","Bachelors","Married","Protestant","Pretty happy","Refused","Conservative","Not legal","Favor","Yes","About right","Too much","Too little","Too little","Bush","Yes"
97,"Mid-Atl","Male","Graduate","Married","Jewish","Pretty happy","Refused","Slightly liberal","Legal","Favor","No","Too much","Too little","Too little","Too little","Kerry","NA"
98,"Mid-Atl","Female","HS","Never Married","Catholic","Pretty happy","20000-22499","Liberal","NA","Favor","Yes","About right","Too little","Too little","Too little","NA","NA"
99,"Mid-Atl","Male","Bachelors","Married","Catholic","NA","Refused","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
100,"Mid-Atl","Male","Left HS","Married","Protestant","NA","22500-24999","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
101,"Mid-Atl","Female","Left HS","Never Married","Catholic","Pretty happy","4000-4999","Slightly conservative","NA","Oppose","No","Too much","Too little","About right","Too little","NA","Yes"
102,"Mid-Atl","Female","HS","Never Married","Protestant","NA","15000-17499","Moderate","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
103,"Mid-Atl","Female","Left HS","Never Married","Catholic","Not too happy","12500-14999","Conservative","Not legal","Oppose","NA","Too much","Too little","About right","NA","NA","Yes"
104,"Mid-Atl","Female","Left HS","Never Married","Protestant","Pretty happy","7000-7999","Conservative","NA","Oppose","No","NA","NA","NA","Too little","NA","No"
105,"Mid-Atl","Male","HS","Never Married","Protestant","Very happy","8000-9999","Moderate","Not legal","Favor","NA","Too much","Too little","Too much","Too little","Kerry","Yes"
106,"Mid-Atl","Male","HS","Married","Protestant","Pretty happy","NA","Slightly liberal","Legal","Favor","NA","Too much","About right","About right","About right","Kerry","NA"
107,"Mid-Atl","Female","Graduate","Never Married","Catholic","Not too happy","NA","Slightly liberal","NA","Favor","No","Too much","Too little","Too much","About right","NA","Yes"
108,"Mid-Atl","Female","Graduate","Divorced","Jewish","Pretty happy","NA","Extremely liberal","Not legal","Oppose","NA","NA","NA","NA","Too little","Kerry","No"
109,"Mid-Atl","Female","HS","Married","Catholic","NA","30000-34999","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
110,"Mid-Atl","Male","Graduate","Married","None","Pretty happy","90000-109999","Slightly liberal","Legal","Oppose","NA","Too little","Too little","Too little","Too little","Kerry","No"
111,"Mid-Atl","Female","Graduate","Married","None","Very happy","75000-89999","Liberal","NA","Oppose","No","NA","NA","NA","About right","NA","NA"
112,"Mid-Atl","Male","HS","Never Married","None","Very happy","25000-29999","Moderate","NA","Favor","No","Too much","Too little","Too little","Too little","Kerry","Yes"
113,"Mid-Atl","Male","Graduate","Never Married","Protestant","Very happy","90000-109999","Moderate","NA","Favor","NA","NA","NA","NA","Too little","NA","Yes"
114,"Mid-Atl","Male","Graduate","Married","Orthodox-Christian","Pretty happy","75000-89999","Moderate","NA","Favor","No","Too much","NA","About right","NA","NA","NA"
115,"Mid-Atl","Female","Left HS","Married","None","Very happy","3000-3999","Moderate","Not legal","NA","NA","Too much","About right","Too little","About right","NA","No"
116,"Mid-Atl","Female","Left HS","Married","Catholic","NA","NA","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
117,"Mid-Atl","Female","Graduate","Never Married","Catholic","Pretty happy","NA","Liberal","Legal","NA","NA","About right","Too little","Too little","Too little","Kerry","No"
118,"Mid-Atl","Female","Left HS","Never Married","Catholic","Not too happy","NA","Slightly conservative","Not legal","Favor","No","About right","Too little","Too little","About right","Bush","Yes"
119,"Mid-Atl","Female","Bachelors","Widowed","Catholic","NA","NA","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
120,"Mid-Atl","Female","HS","Widowed","Catholic","Pretty happy","NA","Moderate","Not legal","Favor","NA","NA","NA","NA","Too much","Kerry","Yes"
121,"Mid-Atl","Female","Left HS","Widowed","Catholic","NA","NA","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
122,"Mid-Atl","Female","HS","Divorced","Protestant","Pretty happy","10000-124999","Slightly conservative","NA","Oppose","No","NA","NA","NA","Too much","NA","Yes"
123,"Mid-Atl","Female","Bachelors","Never Married","Protestant","Pretty happy","30000-34999","Moderate","Legal","Oppose","No","NA","NA","NA","NA","Kerry","No"
124,"Mid-Atl","Male","HS","Widowed","Catholic","NA","Refused","Moderate","NA","NA","NA","NA","NA","NA","NA","Bush","NA"
125,"Mid-Atl","Male","HS","Widowed","Protestant","Not too happy","NA","Conservative","NA","Oppose","Yes","Too little","Too little","About right","About right","Bush","Yes"
126,"Mid-Atl","Male","HS","Never Married","None","NA","35000-39999","Moderate","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
127,"Mid-Atl","Female","HS","Separated","Catholic","NA","NA","Moderate","NA","NA","NA","NA","NA","NA","NA","Bush","NA"
128,"Mid-Atl","Female","HS","Married","Protestant","NA","NA","Slightly conservative","NA","NA","NA","NA","NA","NA","NA","Bush","NA"
129,"Mid-Atl","Male","Bachelors","Married","Catholic","Pretty happy","NA","Slightly conservative","Not legal","Oppose","NA","Too much","About right","Too little","Too much","Bush","Yes"
130,"Mid-Atl","Female","Graduate","Married","Catholic","NA","30000-34999","Slightly liberal","NA","NA","NA","NA","NA","NA","NA","NA","NA"
131,"Mid-Atl","Male","HS","Separated","Protestant","Pretty happy","40000-49999","Moderate","Legal","Oppose","No","NA","NA","NA","Too much","Kerry","Yes"
132,"Mid-Atl","Male","HS","Married","Catholic","Pretty happy","50000-59999","Conservative","Not legal","Favor","Yes","About right","Too little","Too little","Too little","NA","Yes"
133,"Mid-Atl","Male","Graduate","Married","Catholic","Pretty happy","90000-109999","Conservative","Not legal","Favor","No","Too little","Too little","Too little","Too little","NA","Yes"
134,"Mid-Atl","Female","HS","Divorced","Protestant","NA","NA","Moderate","NA","NA","NA","NA","NA","NA","NA","Bush","NA"
135,"Mid-Atl","Male","Bachelors","Married","Catholic","NA","NA","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
136,"Mid-Atl","Male","Graduate","Divorced","None","NA","35000-39999","Liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
137,"Mid-Atl","Male","HS","Married","Catholic","Very happy","75000-89999","Moderate","NA","Oppose","No","About right","Too little","Too little","About right","Kerry","Yes"
138,"Mid-Atl","Female","Jr Col","Divorced","Catholic","Pretty happy","NA","Liberal","Legal","NA","NA","Too much","Too much","Too much","Too much","NA","NA"
139,"Mid-Atl","Male","Bachelors","Married","Catholic","Pretty happy","110000-129999","Moderate","Legal","NA","NA","Too much","NA","Too little","Too little","Kerry","Yes"
140,"Mid-Atl","Male","HS","Married","None","NA","30000-34999","Moderate","NA","NA","NA","NA","NA","NA","NA","NA","NA"
141,"Mid-Atl","Male","Bachelors","Married","Catholic","Pretty happy","75000-89999","Slightly conservative","Legal","Favor","No","NA","NA","NA","Too little","Bush","Yes"
142,"Mid-Atl","Female","Bachelors","Married","Catholic","Very happy","NA","NA","Legal","Favor","NA","Too little","Too little","Too much","Too little","Bush","Yes"
143,"Mid-Atl","Male","Graduate","Married","Catholic","Pretty happy","90000-109999","Moderate","NA","Oppose","No","NA","NA","NA","Too little","Kerry","Yes"
144,"Mid-Atl","Female","Bachelors","Married","Catholic","NA","NA","Slightly liberal","NA","NA","NA","NA","NA","NA","NA","NA","NA"
145,"Mid-Atl","Female","HS","Widowed","Catholic","Not too happy","NA","Moderate","Legal","Oppose","No","NA","NA","NA","Too little","NA","Yes"
146,"Mid-Atl","Female","Jr Col","Never Married","Catholic","Very happy","30000-34999","Extremely liberal","NA","Favor","No","Too much","Too little","Too little","Too little","Bush","Yes"
147,"Mid-Atl","Female","Bachelors","Married","Catholic","NA","40000-49999","Moderate","NA","NA","NA","NA","NA","NA","NA","Bush","NA"
148,"Mid-Atl","Male","HS","Married","Protestant","Very happy","40000-49999","Conservative","NA","Favor","Yes","Too little","Too little","About right","About right","Bush","Yes"
149,"Mid-Atl","Female","HS","Never Married","Catholic","Pretty happy","12500-14999","Moderate","NA","Favor","No","About right","Too little","Too little","Too little","Kerry","Yes"
150,"Mid-Atl","Male","HS","Never Married","None","NA","25000-29999","Slightly liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
151,"Mid-Atl","Female","Left HS","Married","Catholic","NA","4000-4999","Slightly conservative","NA","NA","NA","NA","NA","NA","NA","NA","NA"
152,"Mid-Atl","Male","HS","Never Married","None","Pretty happy","30000-34999","Slightly liberal","NA","Oppose","No","Too much","Too little","About right","About right","Kerry","NA"
153,"Mid-Atl","Male","Graduate","Married","Catholic","NA","130000-149999","Moderate","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
154,"Mid-Atl","Female","HS","Married","Catholic","Very happy","90000-109999","Extremely conservative","Not legal","Favor","No","Too little","Too little","Too little","Too little","Bush","Yes"
155,"Mid-Atl","Female","HS","Never Married","Catholic","Pretty happy","30000-34999","Slightly liberal","Legal","Favor","Yes","NA","NA","NA","Too little","Bush","Yes"
156,"Mid-Atl","Female","HS","Married","Orthodox-Christian","Very happy","30000-34999","Slightly conservative","Not legal","Favor","No","Too much","Too little","Too little","Too little","Bush","Yes"
157,"Mid-Atl","Female","Bachelors","Married","Catholic","NA","40000-49999","Moderate","NA","NA","NA","NA","NA","NA","NA","Nader","NA"
158,"Mid-Atl","Female","Bachelors","Never Married","Catholic","Pretty happy","35000-39999","Slightly conservative","Not legal","Oppose","NA","Too much","Too little","About right","Too much","Bush","Yes"
159,"Mid-Atl","Female","HS","Married","Catholic","NA","25000-29999","Slightly conservative","NA","NA","NA","NA","NA","NA","NA","Bush","NA"
160,"Mid-Atl","Female","Bachelors","Never Married","Catholic","Very happy","20000-22499","Moderate","Not legal","NA","NA","NA","NA","NA","About right","NA","Yes"
161,"Mid-Atl","Male","Jr Col","Never Married","Catholic","Pretty happy","10000-124999","Moderate","Not legal","Favor","NA","NA","NA","NA","NA","Bush","NA"
162,"Mid-Atl","Female","Bachelors","Married","None","Pretty happy","75000-89999","Slightly liberal","Not legal","NA","NA","Too little","Too little","Too little","Too much","NA","Yes"
163,"Mid-Atl","Female","Graduate","Married","Protestant","NA","50000-59999","Slightly liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
164,"Mid-Atl","Male","HS","Never Married","Protestant","Pretty happy","25000-29999","Moderate","NA","Favor","No","NA","NA","NA","About right","NA","Yes"
165,"Mid-Atl","Female","HS","Never Married","Protestant","Very happy","Refused","Slightly conservative","Not legal","Oppose","NA","Too little","Too little","Too little","About right","NA","Yes"
166,"Mid-Atl","Female","Bachelors","Never Married","Protestant","Pretty happy","40000-49999","Liberal","NA","Oppose","No","About right","Too little","Too little","Too little","Kerry","Yes"
167,"Mid-Atl","Female","Graduate","Never Married","Catholic","Pretty happy","Refused","Moderate","NA","Favor","No","About right","Too much","Too little","About right","Bush","Yes"
168,"Mid-Atl","Female","HS","Never Married","None","NA","25000-29999","Liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
169,"Mid-Atl","Male","Bachelors","Married","Jewish","Very happy","NA","Liberal","Legal","Oppose","No","Too much","Too much","Too little","Too little","Kerry","No"
170,"Mid-Atl","Male","Graduate","Separated","None","NA","Refused","Liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
171,"Mid-Atl","Female","HS","Widowed","Jewish","NA","22500-24999","Liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
172,"Mid-Atl","Female","Jr Col","Married","Catholic","NA","20000-22499","Moderate","NA","NA","NA","NA","NA","NA","NA","Bush","NA"
173,"Mid-Atl","Female","Jr Col","Divorced","Catholic","Not too happy","50000-59999","Moderate","NA","Favor","No","NA","NA","NA","About right","Bush","Yes"
174,"Mid-Atl","Female","HS","Married","Catholic","NA","Refused","Moderate","NA","NA","NA","NA","NA","NA","NA","Bush","NA"
175,"Mid-Atl","Female","Bachelors","Never Married","Catholic","NA","30000-34999","Slightly liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
176,"Mid-Atl","Female","Bachelors","Married","Catholic","Pretty happy","6000-6999","Moderate","NA","Favor","No","NA","NA","NA","Too little","Kerry","Yes"
177,"Mid-Atl","Female","HS","Never Married","Catholic","Pretty happy","NA","Moderate","NA","Favor","No","NA","NA","NA","About right","NA","Yes"
178,"Mid-Atl","Male","HS","Married","Protestant","Pretty happy","NA","Slightly conservative","NA","Favor","Yes","About right","Too little","Too little","NA","Kerry","Yes"
179,"Mid-Atl","Female","Jr Col","Married","Catholic","NA","Refused","Moderate","NA","NA","NA","NA","NA","NA","NA","Bush","NA"
180,"Mid-Atl","Male","HS","Married","Catholic","Very happy","110000-129999","Moderate","Not legal","Favor","No","Too much","Too little","About right","About right","Bush","NA"
181,"Mid-Atl","Male","Bachelors","Married","Catholic","Very happy","NA","Slightly liberal","Legal","Oppose","NA","NA","NA","NA","NA","Kerry","NA"
182,"Mid-Atl","Female","HS","Widowed","Catholic","Very happy","NA","Moderate","Legal","Oppose","NA","Too little","Too little","Too little","About right","Bush","Yes"
183,"Mid-Atl","Male","Bachelors","Married","Catholic","Pretty happy","40000-49999","Moderate","NA","Favor","No","NA","NA","NA","Too little","Kerry","Yes"
184,"Mid-Atl","Female","HS","Separated","None","Pretty happy","60000-74999","Liberal","NA","Favor","No","Too little","About right","Too little","Too little","Kerry","Yes"
185,"Mid-Atl","Female","Bachelors","Divorced","None","NA","35000-39999","Slightly liberal","NA","NA","NA","NA","NA","NA","NA","Kerry","NA"
