"First","Last","League","Team","Position","Games","AB","Hits","Ave","Runs","Doubles","Triples","Homeruns","RBI","BB","SO","OPS","SLG","OBP","SB","CS"
"Royce","Clayton","National","ARI","SS",143,522,141,0.27011494252873564,59,28,4,2,44,38,105,0.67,0.3505747126436782,0.32,13,3
"Jeff","Conine","National","FLA","OF",131,335,102,0.3044776119402985,42,20,2,3,33,38,58,0.777,0.40298507462686567,0.374,2,0
"Craig","Counsell","National","ARI","2B",150,578,148,0.2560553633217993,85,34,4,9,42,78,69,0.726,0.3754325259515571,0.35,26,7
"Carl","Crawford","American","TB","OF",156,644,194,0.30124223602484473,101,33,15,15,81,27,84,0.8,0.468944099378882,0.331,46,8
"Joe","Crede","American","CHI","3B",132,432,109,0.2523148148148148,54,21,0,22,62,25,66,0.756,0.4537037037037037,0.303,1,1
"Coco","Crisp","American","CLE","OF",145,594,178,0.2996632996632997,86,42,4,16,69,44,81,0.81,0.46464646464646464,0.345,15,6
"Bobby","Crosby","American","OAK","SS",84,333,92,0.27627627627627627,66,25,4,9,38,35,54,0.802,0.45645645645645644,0.346,0,0
"Jose","Cruz","National","ARI","OF",115,370,93,0.25135135135135134,46,24,2,18,50,66,101,0,0.47297297297297297,0.3646788990825688,0,2
"Michael","Cuddyer","American","MIN","3B",126,422,111,0.26303317535545023,55,25,3,12,42,41,93,0.752,0.4218009478672986,0.33,3,4
"Johnny","Damon","American","BOS","OF",148,624,197,0.3157051282051282,117,35,6,10,75,53,69,0.805,0.4391025641025641,0.366,18,1
"David","DeJesus","American","KC","OF",122,461,135,0.2928416485900217,69,31,6,9,56,42,76,0.804,0.44468546637744033,0.359,5,5
"Carlos","Delgado","National","FLA","1B",144,521,157,0.30134357005758156,81,41,3,33,115,72,121,0.981,0.581573896353167,0.399,0,0
"David","Dellucci","American","TEX","OF",128,435,109,0.25057471264367814,97,17,5,29,65,76,121,0.879,0.5126436781609195,0.367,5,3
"Adam","Dunn","National","CIN","OF",160,543,134,0.24677716390423574,107,35,2,40,101,114,168,0.927,0.5395948434622467,0.387,4,2
"Ray","Durham","National","SF","2B",142,497,144,0.289738430583501,67,33,0,12,62,48,59,0.785,0.42857142857142855,0.356,6,3
"Jermaine","Dye","American","CHI","OF",145,529,145,0.2741020793950851,74,29,2,31,86,39,99,0.846,0.5122873345935728,0.333,11,4
"David","Eckstein","National","STL","SS",158,630,185,0.29365079365079366,90,26,7,8,61,58,44,0.758,0.3952380952380952,0.363,11,8
"Jim","Edmonds","National","STL","OF",142,467,123,0.2633832976445396,88,37,1,29,89,91,139,0.918,0.5331905781584583,0.385,5,5
"Jason","Ellison","National","SF","OF",131,352,93,0.26420454545454547,49,18,2,4,24,24,44,0.677,0.36079545454545453,0.316,14,6
"Mark","Ellis","American","OAK","2B",122,434,137,0.315668202764977,76,21,5,13,52,44,51,0.861,0.4769585253456221,0.384,1,3
"Juan","Encarnacion","National","FLA","OF",141,506,145,0.2865612648221344,59,27,3,16,76,41,104,0.795,0.44664031620553357,0.349,6,5
"Morgan","Ensberg","National","HOU","3B",150,526,149,0.2832699619771863,86,30,3,36,101,85,119,0.945,0.5570342205323194,0.388,6,7
"Darin","Erstad","American","ANA","1B",153,609,166,0.27257799671592775,86,33,3,7,66,47,109,0.696,0.37110016420361247,0.325,10,3
"Johnny","Estrada","National","ATL","C",105,357,93,0.2605042016806723,31,26,0,4,39,20,38,0.67,0.36694677871148457,0.303,0,0
"Adam","Everett","National","HOU","SS",152,549,136,0.24772313296903462,58,27,2,11,54,26,103,0.654,0.36429872495446264,0.29,21,7
"Carl","Everett","American","CHI","OF",135,490,123,0.2510204081632653,58,17,2,23,87,42,99,0.745,0.4346938775510204,0.311,4,5
"Pedro","Feliz","National","SF","3B",156,569,142,0.24956063268892795,69,30,4,20,81,38,102,0.717,0.421792618629174,0.295,0,2
"Chone","Figgins","American","ANA","OF",158,642,186,0.2897196261682243,113,25,10,8,57,64,101,0.749,0.397196261682243,0.352,62,17
"Steve","Finley","American","ANA","OF",112,406,90,0.22167487684729065,41,20,3,12,54,26,71,0.645,0.37438423645320196,0.271,8,4
"Cliff","Floyd","National","NY","OF",150,550,150,0.2727272727272727,85,22,2,34,98,63,98,0.863,0.5054545454545455,0.358,12,2
"Lew","Ford","American","MIN","OF",147,522,138,0.26436781609195403,70,30,4,7,53,45,85,0.716,0.3773946360153257,0.338,13,6
"Ryan","Freel","National","CIN","OF",103,369,100,0.27100271002710025,69,19,3,4,21,51,59,0.743,0.3712737127371274,0.372,36,10
"Rafael","Furcal","National","ATL","SS",154,616,175,0.2840909090909091,100,31,11,12,58,62,78,0.777,0.42857142857142855,0.348,46,10
,,,,,,,,,,,,,,,,,,,,
"Jason","Giambi","American","NY","1B",139,417,113,0.2709832134292566,74,14,0,32,87,108,109,0.975,0.5347721822541966,0.44,0,0
"Jay","Gibbons","American","BAL","OF",139,488,135,0.2766393442622951,72,33,3,26,79,28,56,0.833,0.5163934426229508,0.317,0,0
"Brian","Giles","National","SD","OF",158,545,164,0.30091743119266057,92,38,8,15,83,119,64,0.905,0.48256880733944957,0.423,13,5
"Marcus","Giles","National","ATL","2B",152,577,168,0.29116117850953205,104,45,4,15,63,64,108,0.826,0.4610051993067591,0.365,16,3
"Troy","Glaus","National","ARI","3B",149,538,139,0.258364312267658,78,29,1,37,97,84,145,0.885,0.5223048327137546,0.363,4,2
"Jonny","Gomes","American","TB","OF",101,348,98,0.28160919540229884,61,13,6,21,54,39,113,0.906,0.5344827586206896,0.372,9,5
"Alex","Gonzalez","National","FLA","SS",130,435,115,0.26436781609195403,45,30,0,5,45,31,81,0.686,0.367816091954023,0.319,5,3
"Alex","Gonzalez","American","TB","3B",109,349,94,0.2693409742120344,47,20,1,9,38,26,74,0.733,0.40974212034383956,0.323,2,1
"Luis","Gonzalez","National","ARI","OF",155,579,157,0.2711571675302245,90,37,0,24,79,78,90,0.825,0.459412780656304,0.366,4,1
"Luis","Gonzalez","National","COL","2B",128,404,118,0.29207920792079206,51,25,0,9,44,20,63,0.753,0.4207920792079208,0.333,3,4
"Tony","Graffanino","American","KC","2B",110,379,117,0.3087071240105541,68,17,3,7,38,31,51,0,0.42480211081794195,0.36097560975609755,7,2
"Khalil","Greene","National","SD","SS",121,436,109,0.25,51,30,2,15,70,25,93,0.727,0.43119266055045874,0.296,5,0
"Nick","Green","American","TB","2B",111,318,76,0.2389937106918239,53,15,2,5,29,33,86,0.675,0.34591194968553457,0.329,3,1
"Shawn","Green","National","ARI","OF",158,581,166,0.2857142857142857,87,37,4,22,73,62,95,0.832,0.47676419965576594,0.355,8,4
"Ken","Griffey Jr.","National","CIN","OF",128,491,148,0.3014256619144603,85,30,0,35,92,54,93,0.946,0.5763747454175153,0.369,0,1
"Mark","Grudzielanek","National","STL","2B",137,528,155,0.2935606060606061,64,30,3,8,59,26,81,0.741,0.4071969696969697,0.334,8,6
"Vladimir","Guerrero","American","ANA","OF",141,520,165,0.3173076923076923,95,29,2,32,108,61,48,0.959,0.5653846153846154,0.394,13,1
"Carlos","Guillen","American","DET","SS",87,334,107,0.3203592814371258,48,15,4,5,23,24,45,0.803,0.4341317365269461,0.368,2,3
"Jose","Guillen","National","WAS","OF",148,551,156,0.2831215970961887,81,32,2,24,76,31,102,0.817,0.4791288566243194,0.338,1,1
"Cristian","Guzman","National","WAS","SS",142,456,100,0.21929824561403508,39,19,6,4,31,25,76,0.574,0.31359649122807015,0.26,7,4
"Travis","Hafner","American","CLE","1B",137,486,148,0.3045267489711934,94,42,0,33,108,79,123,1.003,0.5946502057613169,0.408,0,0
"Jerry","Hairston Jr.","National","CHI","OF",114,380,99,0.26052631578947366,51,25,2,4,30,31,46,0.704,0.3684210526315789,0.336,8,9
"Bill","Hall","National","MIL","SS",146,501,146,0.29141716566866266,69,39,6,17,62,39,103,0.837,0.49500998003992014,0.342,18,6
"Toby","Hall","American","TB","C",135,432,124,0.28703703703703703,28,20,0,5,48,16,39,0.683,0.3680555555555556,0.315,0,0
"J.J.","Hardy","National","MIL","SS",124,372,92,0.24731182795698925,46,22,1,9,50,44,48,0.711,0.3844086021505376,0.327,0,0
"Scott","Hatteberg","American","OAK","1B",134,464,119,0.25646551724137934,52,19,0,7,59,51,54,0.677,0.3426724137931034,0.334,0,1
"Brad","Hawpe","National","COL","OF",101,305,80,0.26229508196721313,38,10,3,9,47,43,70,0.754,0.40327868852459015,0.35,2,2
"Todd","Helton","National","COL","1B",144,509,163,0.32023575638506874,92,45,2,20,79,106,80,0.979,0.5343811394891945,0.445,3,0
"Ramon","Hernandez","National","SD","C",99,369,107,0.2899728997289973,36,19,2,12,58,18,40,0.772,0.44986449864498645,0.322,1,0
"Richard","Hidalgo","American","TEX","OF",88,308,68,0.22077922077922077,43,12,0,16,43,26,74,0.705,0.4155844155844156,0.289,1,2
"Aaron","Hill","American","TOR","3B",105,361,99,0.2742382271468144,49,25,3,3,40,34,41,0.727,0.3850415512465374,0.342,2,1
"Shea","Hillenbrand","American","TOR","1B",152,594,173,0.29124579124579125,91,36,2,18,82,26,79,0.792,0.4494949494949495,0.343,5,1
"Eric","Hinske","American","TOR","1B",147,477,125,0.2620545073375262,79,31,2,15,68,46,121,0.763,0.429769392033543,0.333,8,4
"Todd","Hollandsworth","National","CHI","OF",131,303,74,0.24422442244224424,26,17,2,6,36,23,66,0,0.37293729372937295,0.29754601226993865,4,5
"Damon","Hollins","American","TB","OF",120,342,85,0.24853801169590642,44,17,1,13,46,23,63,0.714,0.41812865497076024,0.296,8,1
"Matt","Holliday","National","COL","OF",125,479,147,0.3068893528183716,68,24,7,19,87,36,79,0.866,0.5052192066805845,0.361,14,3
"Ryan","Howard","National","PHI","1B",88,312,90,0.28846153846153844,52,17,2,22,63,33,100,0.924,0.5673076923076923,0.356,0,1
"Orlando","Hudson","American","TOR","2B",131,461,125,0.27114967462039047,62,25,5,10,63,30,65,0.728,0.4121475054229935,0.315,7,1
"Aubrey","Huff","American","TB","OF",154,575,150,0.2608695652173913,70,26,2,22,92,49,88,0.749,0.42782608695652175,0.321,8,7
"Torii","Hunter","American","MIN","OF",98,372,100,0.26881720430107525,63,24,1,14,56,34,65,0.788,0.45161290322580644,0.337,23,7
"Raúl","Ibanez","American","SEA","OF",162,614,172,0.28013029315960913,92,32,2,20,89,71,99,0.792,0.4364820846905538,0.355,9,4
"Tadahito","Iguchi","American","CHI","2B",135,511,142,0.27788649706457924,74,25,6,15,71,47,114,0.78,0.4383561643835616,0.342,15,5
"Omar","Infante","American","DET","2B",121,406,90,0.22167487684729065,36,28,2,9,43,16,73,0.621,0.3669950738916256,0.254,8,0
"Brandon","Inge","American","DET","3B",160,616,161,0.26136363636363635,75,31,9,16,72,63,140,0.749,0.41883116883116883,0.33,7,6
"Cesar","Izturis","National","LA","SS",106,444,114,0.25675675675675674,48,19,2,2,31,25,51,0.624,0.32207207207207206,0.302,8,8
"Geoff","Jenkins","National","MIL","OF",148,538,157,0.29182156133828996,87,42,1,25,86,56,138,0.888,0.5130111524163569,0.375,0,0
"Derek","Jeter","American","NY","SS",159,654,202,0.308868501529052,122,25,5,19,70,77,117,0.839,0.44954128440366975,0.389,14,5
"Dan","Johnson","American","OAK","1B",109,375,103,0.27466666666666667,54,21,0,15,58,50,52,0.806,0.45066666666666666,0.355,0,1
"Nick","Johnson","National","WAS","1B",131,453,131,0.2891832229580574,66,35,3,15,74,80,87,0.887,0.47902869757174393,0.408,3,8
"Reed","Johnson","American","TOR","OF",142,398,107,0.26884422110552764,55,21,6,8,58,22,82,0.744,0.4120603015075377,0.332,5,6
"Andruw","Jones","National","ATL","OF",160,586,154,0.2627986348122867,95,24,3,51,128,64,112,0.922,0.5750853242320819,0.347,5,3
"Chipper","Jones","National","ATL","3B",109,358,106,0.29608938547486036,66,30,0,21,72,72,56,0.968,0.5558659217877095,0.412,5,1
"Jacque","Jones","American","MIN","OF",142,523,130,0.248565965583174,74,22,4,23,73,51,120,0.757,0.4378585086042065,0.319,13,4
"Austin","Kearns","National","CIN","OF",112,387,93,0.24031007751937986,62,26,1,18,67,48,107,0.785,0.45219638242894056,0.333,0,0
"Jason","Kendall","American","OAK","C",150,601,163,0.27121464226289516,70,28,1,0,53,50,39,0.666,0.3211314475873544,0.345,8,3
"Adam","Kennedy","American","ANA","2B",129,416,125,0.3004807692307692,49,23,0,2,37,29,64,0.724,0.3701923076923077,0.354,19,4
"Jeff","Kent","National","LA","2B",149,553,160,0.28933092224231466,100,36,0,29,105,72,85,0.889,0.5117540687160941,0.377,6,2
"Bobby","Kielty","American","OAK","OF",116,377,99,0.2625994694960212,55,20,0,10,57,50,67,0.746,0.3952254641909814,0.35,3,2
"Ryan","Klesko","National","SD","OF",137,443,110,0.24830699774266365,61,19,1,18,58,75,80,0.775,0.417607223476298,0.358,3,4
"Paul","Konerko","American","CHI","1B",158,575,163,0.28347826086956524,98,24,0,40,100,81,109,0.909,0.5339130434782609,0.375,0,0
"Corey","Koskie","American","TOR","3B",97,354,88,0.24858757062146894,49,20,0,11,36,44,90,0.735,0.3983050847457627,0.337,4,1
"Mark","Kotsay","American","OAK","OF",139,582,163,0.2800687285223368,75,35,1,15,82,40,51,0.746,0.4209621993127148,0.325,5,5
"Mike","Lamb","National","HOU","1B",125,322,76,0.2360248447204969,41,13,5,12,53,22,65,0.703,0.4192546583850932,0.284,1,1
"Jason","Lane","National","HOU","OF",145,517,138,0.26692456479690524,65,34,4,26,78,32,105,0.815,0.4990328820116054,0.316,6,2
"Ryan","Langerhans","National","ATL","OF",128,326,87,0.2668711656441718,48,22,3,8,42,37,75,0.774,0.4263803680981595,0.348,0,2
"Adam","LaRoche","National","ATL","1B",141,451,117,0.25942350332594233,53,28,0,20,78,39,87,0.775,0.45454545454545453,0.32,0,2
"Jason","LaRue","National","CIN","C",110,361,94,0.26038781163434904,38,27,0,14,60,41,101,0.806,0.4515235457063712,0.355,0,0
"Matt","Lawton","National","PIT","OF",141,500,127,0.254,67,30,1,13,53,69,77,0,0.396,0.3444639718804921,18,9
"Matthew","LeCroy","American","MIN","1B",101,304,79,0.2598684210526316,33,5,0,17,50,41,85,0.798,0.4440789473684211,0.354,0,0
"Carlos","Lee","National","MIL","OF",162,618,164,0.26537216828478966,85,41,0,32,114,57,87,0.811,0.48705501618122976,0.324,13,4
"Derrek","Lee","National","CHI","1B",158,594,199,0.335016835016835,120,50,3,46,107,85,109,1.08,0.6616161616161617,0.418,15,3
"Travis","Lee","American","TB","1B",129,404,110,0.2722772277227723,54,22,2,12,49,35,66,0.757,0.42574257425742573,0.331,7,4
"Mike","Lieberthal","National","PHI","C",118,392,103,0.2627551020408163,48,25,0,12,47,35,35,0.755,0.41836734693877553,0.336,0,0
"Paul","Lo Duca","National","FLA","C",132,445,126,0.28314606741573034,45,23,1,6,57,34,31,0.714,0.3797752808988764,0.334,4,3
"Kenny","Lofton","National","PHI","OF",110,367,123,0.335149863760218,67,15,5,2,36,32,41,0.811,0.4196185286103542,0.392,22,3
"Nook","Logan","American","DET","OF",129,322,83,0.2577639751552795,47,12,5,1,17,21,52,0.641,0.33540372670807456,0.305,23,6
"Terrence","Long","American","KC","OF",137,455,127,0.27912087912087913,62,21,3,6,53,30,56,0.699,0.378021978021978,0.321,3,3
"Felipe","Lopez","National","CIN","SS",148,580,169,0.2913793103448276,97,34,5,23,85,57,111,0.838,0.4862068965517241,0.352,15,7
"Javy","Lopez","American","BAL","C",103,395,110,0.27848101265822783,47,24,1,15,49,19,68,0.78,0.4582278481012658,0.322,0,1
"Mark","Loretta","National","SD","2B",105,404,113,0.27970297029702973,54,16,1,3,38,45,34,0.707,0.3465346534653465,0.36,8,4
"Mike","Lowell","National","FLA","3B",150,500,118,0.236,56,36,1,8,58,46,58,0.658,0.36,0.298,4,0
"Julio","Lugo","American","TB","SS",158,616,182,0.29545454545454547,89,36,6,6,57,61,72,0.765,0.4025974025974026,0.362,39,11
"Rob","Mackowiak","National","PIT","3B",142,463,126,0.27213822894168466,57,21,3,9,58,43,100,0.726,0.38876889848812096,0.337,8,4
"Tino","Martinez","American","NY","1B",131,303,73,0.24092409240924093,43,9,0,17,49,38,54,0.767,0.4389438943894389,0.328,2,0
"Victor","Martinez","American","CLE","C",147,547,167,0.3053016453382084,73,33,0,20,80,63,78,0.853,0.4753199268738574,0.378,0,1
"Mike","Matheny","National","SF","C",134,443,107,0.24153498871331827,42,34,0,13,59,29,91,0.701,0.40632054176072235,0.295,0,2
"Luis","Matos","American","BAL","OF",121,389,109,0.2802056555269923,53,20,2,4,32,27,58,0.712,0.37275064267352187,0.34,17,9
"Hideki","Matsui","American","NY","OF",162,629,192,0.3052464228934817,108,45,3,23,116,63,78,0.863,0.4960254372019078,0.367,2,2
"Gary","Matthews Jr.","American","TEX","OF",131,475,121,0.25473684210526315,72,25,5,17,55,47,90,0.756,0.4357894736842105,0.32,9,2
"Joe","Mauer","American","MIN","C",131,489,144,0.294478527607362,61,26,2,9,55,61,64,0.783,0.4110429447852761,0.372,13,1
"Kevin","Mench","American","TEX","OF",150,557,147,0.2639138240574506,71,33,3,25,73,50,68,0.797,0.46858168761220825,0.328,4,3
"Aaron","Miles","National","COL","2B",99,324,91,0.2808641975308642,37,12,3,2,28,8,38,0.661,0.3549382716049383,0.306,4,2
"Kevin","Millar","American","BOS","1B",134,449,122,0.2717149220489978,57,28,1,9,50,54,74,0.753,0.3986636971046771,0.355,0,1
"Damian","Miller","National","MIL","C",114,385,105,0.2727272727272727,50,25,1,9,43,37,94,0.753,0.412987012987013,0.34,0,1
"Wily","Mo Pena","National","CIN","OF",99,311,79,0.2540192926045016,42,17,0,19,51,20,116,0.796,0.4919614147909968,0.304,2,1
"Bengie","Molina","American","ANA","C",119,410,121,0.2951219512195122,45,17,0,15,69,27,41,0.782,0.44634146341463415,0.336,0,2
"Yadier","Molina","National","STL","C",114,385,97,0.2519480519480519,36,15,1,8,49,23,30,0.654,0.35844155844155845,0.295,2,3
"Craig","Monroe","American","DET","OF",157,567,157,0.2768959435626102,69,30,3,20,89,40,95,0.768,0.4462081128747795,0.322,8,3
"Melvin","Mora","American","BAL","3B",149,593,168,0.28330522765598654,86,30,1,27,88,50,112,0.821,0.47386172006745364,0.348,7,4
"Justin","Morneau","American","MIN","1B",141,490,117,0.23877551020408164,62,23,4,22,79,44,94,0.741,0.43673469387755104,0.304,0,2
"Bill","Mueller","American","BOS","3B",150,519,153,0.2947976878612717,69,34,3,10,62,59,74,0.799,0.4296724470134875,0.369,0,0
"Xavier","Nady","National","SD","OF",124,326,85,0.2607361963190184,40,15,2,13,43,22,67,0.76,0.4386503067484663,0.321,2,1
"Phil","Nevin","National","SD","1B",102,380,90,0.23684210526315788,46,16,1,12,55,27,97,0,0.37894736842105264,0.28746928746928746,3,0
"Trot","Nixon","American","BOS","OF",124,408,112,0.27450980392156865,64,29,1,13,67,53,59,0.804,0.44607843137254904,0.357,2,1
"Abraham","Nunez","National","STL","3B",139,421,120,0.2850356294536817,64,13,2,5,44,37,63,0.704,0.36104513064133015,0.343,0,1
"Magglio","Ordonez","American","DET","OF",82,305,92,0.3016393442622951,38,17,0,8,46,30,35,0.795,0.4360655737704918,0.359,0,0
"David","Ortiz","American","BOS","1B",159,601,180,0.2995008319467554,119,40,1,47,148,102,124,1.001,0.6039933444259568,0.397,1,0
"Lyle","Overbay","National","MIL","1B",158,537,148,0.2756052141527002,80,34,1,19,72,78,98,0.816,0.44878957169459965,0.367,1,0
"Rafael","Palmeiro","American","BAL","1B",110,369,98,0.26558265582655827,47,13,0,18,60,43,43,0.786,0.44715447154471544,0.339,2,0
"Corey","Patterson","National","CHI","OF",126,451,97,0.21507760532150777,47,15,3,13,34,23,118,0.602,0.34811529933481156,0.254,15,5
"Jay","Payton","American","OAK","OF",124,408,109,0.26715686274509803,62,16,1,18,63,24,47,0,0.44362745098039214,0.30787037037037035,0,1
"Jhonny","Peralta","American","CLE","SS",141,504,147,0.2916666666666667,82,35,4,24,78,58,128,0.885,0.5198412698412699,0.366,0,2
"Neifi","Perez","National","CHI","SS",154,572,157,0.2744755244755245,59,33,1,9,54,18,47,0.681,0.38286713286713286,0.298,8,4
"Jason","Phillips","National","LA","C",121,399,95,0.23809523809523808,38,20,0,10,55,25,50,0.65,0.3634085213032581,0.287,0,1
"Mike","Piazza","National","NY","C",113,398,100,0.25125628140703515,41,23,0,19,62,41,67,0.778,0.45226130653266333,0.326,0,0
"Juan","Pierre","National","FLA","OF",162,656,181,0.2759146341463415,96,19,13,2,47,41,45,0.68,0.35365853658536583,0.326,57,17
"A.J.","Pierzynski","American","CHI","C",128,460,118,0.2565217391304348,61,21,0,18,56,23,68,0.728,0.41956521739130437,0.308,0,2
"Scott","Podsednik","American","CHI","OF",129,507,147,0.28994082840236685,80,28,1,0,25,47,75,0.7,0.34911242603550297,0.351,59,23
"Placido","Polanco","American","DET","2B",129,501,166,0.3313373253493014,84,27,2,9,56,33,25,0,0.4471057884231537,0.37265917602996257,4,3
