"ID","Carrier","FlightNo","Destination","DepartTime","Day","Month","FlightLength","Delay","Delayed30"
34,"UA",403,"DEN","4-8am","Sun","May",281,1,"No"
35,"UA",405,"DEN","8-Noon","Sun","May",257,-3,"No"
36,"UA",409,"DEN","4-8pm","Sun","May",279,-5,"No"
37,"UA",511,"ORD","8-Noon","Sun","May",144,-6,"No"
38,"UA",673,"ORD","8-Noon","Sun","May",148,-3,"No"
39,"UA",677,"ORD","8-Noon","Sun","May",160,-8,"No"
40,"UA",679,"ORD","8-Noon","Sun","May",160,-4,"No"
41,"UA",681,"ORD","Noon-4pm","Sun","May",160,45,"Yes"
42,"UA",683,"ORD","Noon-4pm","Sun","May",160,-8,"No"
43,"UA",685,"ORD","Noon-4pm","Sun","May",160,-5,"No"
44,"UA",687,"ORD","4-8pm","Sun","May",160,-5,"No"
45,"UA",689,"ORD","4-8pm","Sun","May",160,34,"Yes"
46,"UA",691,"ORD","4-8pm","Sun","May",160,-5,"No"
47,"UA",693,"ORD","4-8pm","Sun","May",160,178,"Yes"
48,"UA",745,"DEN","Noon-4pm","Sun","May",277,-6,"No"
49,"UA",835,"ORD","4-8am","Sun","May",160,0,"No"
50,"UA",847,"IAD","4-8pm","Sun","May",92,28,"No"
51,"UA",403,"DEN","4-8am","Mon","May",281,-3,"No"
52,"UA",405,"DEN","8-Noon","Mon","May",277,-8,"No"
53,"UA",409,"DEN","4-8pm","Mon","May",279,50,"Yes"
54,"UA",511,"ORD","8-Noon","Mon","May",158,-1,"No"
55,"UA",667,"ORD","4-8am","Mon","May",143,-6,"No"
56,"UA",669,"ORD","4-8am","Mon","May",150,-2,"No"
57,"UA",673,"ORD","8-Noon","Mon","May",158,-13,"No"
58,"UA",677,"ORD","8-Noon","Mon","May",160,-5,"No"
59,"UA",679,"ORD","Noon-4pm","Mon","May",160,-2,"No"
60,"UA",683,"ORD","Noon-4pm","Mon","May",163,88,"Yes"
61,"UA",685,"ORD","Noon-4pm","Mon","May",160,-2,"No"
62,"UA",687,"ORD","4-8pm","Mon","May",160,81,"Yes"
63,"UA",689,"ORD","4-8pm","Mon","May",160,0,"No"
64,"UA",691,"ORD","4-8pm","Mon","May",160,5,"No"
65,"UA",693,"ORD","4-8pm","Mon","May",160,49,"Yes"
66,"UA",695,"ORD","8-Mid","Mon","May",160,33,"Yes"
67,"UA",745,"DEN","Noon-4pm","Mon","May",277,-2,"No"
68,"UA",835,"ORD","8-Noon","Mon","May",160,-8,"No"
69,"UA",847,"IAD","4-8pm","Mon","May",92,-7,"No"
70,"UA",403,"DEN","4-8am","Tue","May",281,-4,"No"
71,"UA",405,"DEN","8-Noon","Tue","May",277,117,"Yes"
72,"UA",409,"DEN","4-8pm","Tue","May",279,115,"Yes"
73,"UA",511,"ORD","8-Noon","Tue","May",158,0,"No"
74,"UA",667,"ORD","4-8am","Tue","May",143,-2,"No"
75,"UA",669,"ORD","4-8am","Tue","May",150,-2,"No"
76,"UA",673,"ORD","8-Noon","Tue","May",158,1,"No"
77,"UA",679,"ORD","Noon-4pm","Tue","May",160,-2,"No"
78,"UA",681,"ORD","Noon-4pm","Tue","May",160,-6,"No"
79,"UA",683,"ORD","Noon-4pm","Tue","May",163,96,"Yes"
80,"UA",685,"ORD","Noon-4pm","Tue","May",160,0,"No"
81,"UA",689,"ORD","4-8pm","Tue","May",160,15,"No"
82,"UA",691,"ORD","4-8pm","Tue","May",160,68,"Yes"
83,"UA",693,"ORD","4-8pm","Tue","May",163,60,"Yes"
84,"UA",695,"ORD","8-Mid","Tue","May",160,31,"Yes"
85,"UA",745,"DEN","Noon-4pm","Tue","May",277,80,"Yes"
86,"UA",835,"ORD","8-Noon","Tue","May",160,25,"No"
87,"UA",847,"IAD","4-8pm","Tue","May",92,79,"Yes"
88,"UA",403,"DEN","4-8am","Wed","May",281,-1,"No"
89,"UA",405,"DEN","8-Noon","Wed","May",277,105,"Yes"
90,"UA",409,"DEN","4-8pm","Wed","May",279,10,"No"
91,"UA",511,"ORD","8-Noon","Wed","May",158,0,"No"
92,"UA",667,"ORD","4-8am","Wed","May",143,-6,"No"
93,"UA",669,"ORD","4-8am","Wed","May",150,-5,"No"
94,"UA",673,"ORD","8-Noon","Wed","May",158,-4,"No"
95,"UA",677,"ORD","8-Noon","Wed","May",160,-2,"No"
96,"UA",679,"ORD","Noon-4pm","Wed","May",160,-2,"No"
97,"UA",681,"ORD","Noon-4pm","Wed","May",160,54,"Yes"
98,"UA",683,"ORD","Noon-4pm","Wed","May",163,0,"No"
99,"UA",685,"ORD","Noon-4pm","Wed","May",160,45,"Yes"
100,"UA",687,"ORD","4-8pm","Wed","May",160,73,"Yes"
101,"UA",689,"ORD","4-8pm","Wed","May",160,98,"Yes"
102,"UA",691,"ORD","4-8pm","Wed","May",160,118,"Yes"
103,"UA",693,"ORD","4-8pm","Wed","May",160,0,"No"
104,"UA",695,"ORD","8-Mid","Wed","May",160,0,"No"
105,"UA",745,"DEN","Noon-4pm","Wed","May",277,39,"Yes"
106,"UA",835,"ORD","8-Noon","Wed","May",160,-7,"No"
107,"UA",847,"IAD","4-8pm","Wed","May",92,100,"Yes"
108,"UA",403,"DEN","4-8am","Thu","May",281,-4,"No"
109,"UA",405,"DEN","8-Noon","Thu","May",277,62,"Yes"
110,"UA",409,"DEN","4-8pm","Thu","May",279,20,"No"
111,"UA",511,"ORD","8-Noon","Thu","May",158,0,"No"
112,"UA",667,"ORD","4-8am","Thu","May",143,-4,"No"
113,"UA",669,"ORD","4-8am","Thu","May",150,-3,"No"
114,"UA",673,"ORD","8-Noon","Thu","May",158,0,"No"
115,"UA",677,"ORD","8-Noon","Thu","May",160,67,"Yes"
116,"UA",679,"ORD","Noon-4pm","Thu","May",160,48,"Yes"
117,"UA",681,"ORD","Noon-4pm","Thu","May",160,9,"No"
118,"UA",683,"ORD","Noon-4pm","Thu","May",163,245,"Yes"
119,"UA",685,"ORD","Noon-4pm","Thu","May",160,0,"No"
120,"UA",687,"ORD","4-8pm","Thu","May",160,9,"No"
121,"UA",689,"ORD","4-8pm","Thu","May",160,140,"Yes"
122,"UA",691,"ORD","4-8pm","Thu","May",160,105,"Yes"
123,"UA",693,"ORD","4-8pm","Thu","May",160,115,"Yes"
124,"UA",695,"ORD","8-Mid","Thu","May",160,121,"Yes"
125,"UA",745,"DEN","Noon-4pm","Thu","May",277,8,"No"
126,"UA",835,"ORD","8-Noon","Thu","May",160,0,"No"
127,"UA",847,"IAD","4-8pm","Thu","May",92,83,"Yes"
128,"UA",403,"DEN","4-8am","Fri","May",281,-4,"No"
129,"UA",405,"DEN","8-Noon","Fri","May",277,47,"Yes"
130,"UA",409,"DEN","4-8pm","Fri","May",279,-2,"No"
131,"UA",511,"ORD","8-Noon","Fri","May",158,-6,"No"
132,"UA",667,"ORD","4-8am","Fri","May",143,-10,"No"
133,"UA",669,"ORD","4-8am","Fri","May",150,-2,"No"
134,"UA",673,"ORD","8-Noon","Fri","May",158,-2,"No"
135,"UA",677,"ORD","8-Noon","Fri","May",160,0,"No"
136,"UA",679,"ORD","Noon-4pm","Fri","May",160,-5,"No"
137,"UA",681,"ORD","Noon-4pm","Fri","May",160,-10,"No"
138,"UA",683,"ORD","Noon-4pm","Fri","May",163,-5,"No"
139,"UA",685,"ORD","Noon-4pm","Fri","May",160,-6,"No"
140,"UA",687,"ORD","4-8pm","Fri","May",160,-5,"No"
141,"UA",689,"ORD","4-8pm","Fri","May",160,19,"No"
142,"UA",691,"ORD","4-8pm","Fri","May",160,-2,"No"
143,"UA",693,"ORD","4-8pm","Fri","May",160,-9,"No"
144,"UA",695,"ORD","8-Mid","Fri","May",160,-8,"No"
145,"UA",745,"DEN","Noon-4pm","Fri","May",277,-6,"No"
146,"UA",835,"ORD","8-Noon","Fri","May",160,-4,"No"
147,"UA",847,"IAD","4-8pm","Fri","May",92,14,"No"
148,"UA",403,"DEN","4-8am","Sat","May",280,-5,"No"
149,"UA",405,"DEN","8-Noon","Sat","May",274,6,"No"
150,"UA",511,"ORD","8-Noon","Sat","May",158,0,"No"
151,"UA",669,"ORD","4-8am","Sat","May",160,-1,"No"
152,"UA",677,"ORD","8-Noon","Sat","May",163,159,"Yes"
153,"UA",681,"ORD","Noon-4pm","Sat","May",160,-11,"No"
154,"UA",683,"ORD","Noon-4pm","Sat","May",146,6,"No"
155,"UA",689,"ORD","4-8pm","Sat","May",160,-6,"No"
156,"UA",691,"ORD","4-8pm","Sat","May",158,-4,"No"
157,"UA",745,"DEN","Noon-4pm","Sat","May",259,32,"Yes"
158,"UA",835,"ORD","8-Noon","Sat","May",160,-9,"No"
159,"UA",847,"IAD","4-8pm","Sat","May",68,-7,"No"
160,"UA",403,"DEN","4-8am","Sun","May",281,-4,"No"
161,"UA",405,"DEN","8-Noon","Sun","May",257,-6,"No"
162,"UA",409,"DEN","4-8pm","Sun","May",279,-7,"No"
163,"UA",511,"ORD","8-Noon","Sun","May",144,-11,"No"
164,"UA",669,"ORD","4-8am","Sun","May",160,-16,"No"
165,"UA",673,"ORD","8-Noon","Sun","May",148,-6,"No"
166,"UA",677,"ORD","8-Noon","Sun","May",163,-7,"No"
167,"UA",679,"ORD","Noon-4pm","Sun","May",160,-10,"No"
168,"UA",681,"ORD","Noon-4pm","Sun","May",160,-5,"No"
169,"UA",683,"ORD","Noon-4pm","Sun","May",160,-6,"No"
170,"UA",685,"ORD","Noon-4pm","Sun","May",160,21,"No"
171,"UA",687,"ORD","4-8pm","Sun","May",160,-5,"No"
172,"UA",689,"ORD","4-8pm","Sun","May",160,-10,"No"
173,"UA",691,"ORD","4-8pm","Sun","May",160,2,"No"
174,"UA",693,"ORD","4-8pm","Sun","May",160,20,"No"
175,"UA",745,"DEN","Noon-4pm","Sun","May",277,-9,"No"
176,"UA",847,"IAD","4-8pm","Sun","May",92,24,"No"
177,"UA",403,"DEN","4-8am","Mon","May",281,-4,"No"
178,"UA",405,"DEN","8-Noon","Mon","May",277,-6,"No"
179,"UA",409,"DEN","4-8pm","Mon","May",279,1,"No"
180,"UA",511,"ORD","8-Noon","Mon","May",158,-2,"No"
181,"UA",667,"ORD","4-8am","Mon","May",143,-3,"No"
182,"UA",669,"ORD","4-8am","Mon","May",150,-5,"No"
183,"UA",673,"ORD","8-Noon","Mon","May",158,-1,"No"
184,"UA",677,"ORD","8-Noon","Mon","May",160,2,"No"
185,"UA",679,"ORD","Noon-4pm","Mon","May",160,-7,"No"
186,"UA",681,"ORD","Noon-4pm","Mon","May",160,-9,"No"
187,"UA",683,"ORD","Noon-4pm","Mon","May",163,-5,"No"
188,"UA",685,"ORD","Noon-4pm","Mon","May",160,62,"Yes"
189,"UA",687,"ORD","4-8pm","Mon","May",160,-11,"No"
190,"UA",689,"ORD","4-8pm","Mon","May",160,-10,"No"
191,"UA",691,"ORD","4-8pm","Mon","May",160,9,"No"
192,"UA",693,"ORD","4-8pm","Mon","May",160,21,"No"
193,"UA",695,"ORD","8-Mid","Mon","May",160,0,"No"
194,"UA",745,"DEN","Noon-4pm","Mon","May",277,-9,"No"
195,"UA",835,"ORD","8-Noon","Mon","May",160,-11,"No"
196,"UA",847,"IAD","4-8pm","Mon","May",92,-4,"No"
197,"UA",403,"DEN","4-8am","Tue","May",281,-1,"No"
198,"UA",405,"DEN","8-Noon","Tue","May",277,-6,"No"
199,"UA",409,"DEN","4-8pm","Tue","May",279,1,"No"
200,"UA",511,"ORD","8-Noon","Tue","May",158,-5,"No"
201,"UA",667,"ORD","4-8am","Tue","May",143,-7,"No"
202,"UA",669,"ORD","4-8am","Tue","May",150,-9,"No"
203,"UA",673,"ORD","8-Noon","Tue","May",158,-4,"No"
204,"UA",679,"ORD","Noon-4pm","Tue","May",160,-7,"No"
205,"UA",681,"ORD","Noon-4pm","Tue","May",160,-6,"No"
206,"UA",683,"ORD","Noon-4pm","Tue","May",163,-1,"No"
207,"UA",685,"ORD","Noon-4pm","Tue","May",160,-8,"No"
208,"UA",689,"ORD","4-8pm","Tue","May",160,-3,"No"
209,"UA",691,"ORD","4-8pm","Tue","May",160,-9,"No"
210,"UA",693,"ORD","4-8pm","Tue","May",160,-3,"No"
211,"UA",695,"ORD","8-Mid","Tue","May",160,-6,"No"
212,"UA",745,"DEN","Noon-4pm","Tue","May",277,-9,"No"
213,"UA",835,"ORD","8-Noon","Tue","May",160,-6,"No"
214,"UA",847,"IAD","4-8pm","Tue","May",92,-7,"No"
215,"UA",403,"DEN","4-8am","Wed","May",281,-5,"No"
216,"UA",405,"DEN","8-Noon","Wed","May",277,13,"No"
217,"UA",409,"DEN","4-8pm","Wed","May",279,1,"No"
218,"UA",511,"ORD","8-Noon","Wed","May",158,-7,"No"
219,"UA",667,"ORD","4-8am","Wed","May",143,-9,"No"
220,"UA",669,"ORD","4-8am","Wed","May",150,-9,"No"
221,"UA",673,"ORD","8-Noon","Wed","May",158,-8,"No"
222,"UA",677,"ORD","8-Noon","Wed","May",160,29,"No"
223,"UA",679,"ORD","Noon-4pm","Wed","May",160,-10,"No"
224,"UA",681,"ORD","Noon-4pm","Wed","May",160,-5,"No"
225,"UA",683,"ORD","Noon-4pm","Wed","May",163,-7,"No"
226,"UA",685,"ORD","Noon-4pm","Wed","May",160,0,"No"
227,"UA",687,"ORD","4-8pm","Wed","May",160,24,"No"
228,"UA",689,"ORD","4-8pm","Wed","May",160,37,"Yes"
229,"UA",691,"ORD","4-8pm","Wed","May",160,20,"No"
230,"UA",693,"ORD","4-8pm","Wed","May",160,28,"No"
231,"UA",695,"ORD","8-Mid","Wed","May",160,-1,"No"
232,"UA",745,"DEN","Noon-4pm","Wed","May",277,-5,"No"
233,"UA",835,"ORD","8-Noon","Wed","May",160,0,"No"
234,"UA",847,"IAD","4-8pm","Wed","May",92,9,"No"
235,"UA",403,"DEN","4-8am","Thu","May",281,-3,"No"
236,"UA",405,"DEN","8-Noon","Thu","May",277,-1,"No"
237,"UA",409,"DEN","4-8pm","Thu","May",279,7,"No"
238,"UA",511,"ORD","8-Noon","Thu","May",158,0,"No"
239,"UA",667,"ORD","4-8am","Thu","May",143,0,"No"
240,"UA",669,"ORD","4-8am","Thu","May",150,-5,"No"
241,"UA",673,"ORD","8-Noon","Thu","May",158,20,"No"
242,"UA",677,"ORD","8-Noon","Thu","May",160,-1,"No"
243,"UA",679,"ORD","Noon-4pm","Thu","May",160,45,"Yes"
244,"UA",681,"ORD","Noon-4pm","Thu","May",160,28,"No"
245,"UA",683,"ORD","Noon-4pm","Thu","May",163,69,"Yes"
246,"UA",685,"ORD","Noon-4pm","Thu","May",160,100,"Yes"
247,"UA",687,"ORD","4-8pm","Thu","May",160,0,"No"
248,"UA",689,"ORD","4-8pm","Thu","May",160,132,"Yes"
249,"UA",691,"ORD","4-8pm","Thu","May",160,83,"Yes"
250,"UA",693,"ORD","4-8pm","Thu","May",160,118,"Yes"
251,"UA",695,"ORD","8-Mid","Thu","May",160,90,"Yes"
252,"UA",745,"DEN","Noon-4pm","Thu","May",277,138,"Yes"
253,"UA",835,"ORD","8-Noon","Thu","May",160,-6,"No"
254,"UA",847,"IAD","4-8pm","Thu","May",92,85,"Yes"
255,"UA",403,"DEN","4-8am","Fri","May",281,2,"No"
256,"UA",405,"DEN","8-Noon","Fri","May",277,76,"Yes"
257,"UA",409,"DEN","4-8pm","Fri","May",279,15,"No"
258,"UA",511,"ORD","8-Noon","Fri","May",158,-4,"No"
259,"UA",667,"ORD","4-8am","Fri","May",143,-2,"No"
260,"UA",669,"ORD","4-8am","Fri","May",150,-2,"No"
261,"UA",673,"ORD","8-Noon","Fri","May",158,24,"No"
262,"UA",677,"ORD","8-Noon","Fri","May",160,17,"No"
263,"UA",679,"ORD","Noon-4pm","Fri","May",160,125,"Yes"
264,"UA",681,"ORD","Noon-4pm","Fri","May",160,45,"Yes"
265,"UA",683,"ORD","Noon-4pm","Fri","May",163,0,"No"
266,"UA",685,"ORD","Noon-4pm","Fri","May",160,83,"Yes"
267,"UA",687,"ORD","4-8pm","Fri","May",160,0,"No"
268,"UA",689,"ORD","4-8pm","Fri","May",160,100,"Yes"
269,"UA",691,"ORD","4-8pm","Fri","May",160,80,"Yes"
270,"UA",693,"ORD","4-8pm","Fri","May",160,91,"Yes"
271,"UA",695,"ORD","8-Mid","Fri","May",160,20,"No"
272,"UA",745,"DEN","Noon-4pm","Fri","May",277,63,"Yes"
273,"UA",835,"ORD","8-Noon","Fri","May",160,-6,"No"
274,"UA",847,"IAD","4-8pm","Fri","May",92,21,"No"
275,"UA",403,"DEN","4-8am","Sat","May",280,3,"No"
276,"UA",405,"DEN","8-Noon","Sat","May",274,0,"No"
277,"UA",511,"ORD","8-Noon","Sat","May",158,0,"No"
278,"UA",669,"ORD","4-8am","Sat","May",160,-5,"No"
279,"UA",677,"ORD","8-Noon","Sat","May",160,-2,"No"
280,"UA",681,"ORD","Noon-4pm","Sat","May",160,19,"No"
281,"UA",683,"ORD","Noon-4pm","Sat","May",151,2,"No"
282,"UA",689,"ORD","4-8pm","Sat","May",160,-3,"No"
283,"UA",745,"DEN","Noon-4pm","Sat","May",259,-1,"No"
284,"UA",835,"ORD","8-Noon","Sat","May",160,-5,"No"
285,"UA",847,"IAD","4-8pm","Sat","May",68,4,"No"
286,"UA",403,"DEN","4-8am","Sun","May",281,-1,"No"
287,"UA",405,"DEN","8-Noon","Sun","May",257,7,"No"
288,"UA",409,"DEN","4-8pm","Sun","May",279,-2,"No"
289,"UA",511,"ORD","8-Noon","Sun","May",144,-7,"No"
290,"UA",669,"ORD","4-8am","Sun","May",160,-3,"No"
291,"UA",673,"ORD","8-Noon","Sun","May",148,-4,"No"
292,"UA",677,"ORD","8-Noon","Sun","May",163,-8,"No"
293,"UA",679,"ORD","Noon-4pm","Sun","May",160,-8,"No"
294,"UA",681,"ORD","Noon-4pm","Sun","May",160,-7,"No"
295,"UA",683,"ORD","Noon-4pm","Sun","May",160,-6,"No"
296,"UA",685,"ORD","Noon-4pm","Sun","May",160,-7,"No"
297,"UA",687,"ORD","4-8pm","Sun","May",160,-9,"No"
298,"UA",689,"ORD","4-8pm","Sun","May",160,-2,"No"
299,"UA",691,"ORD","4-8pm","Sun","May",160,-10,"No"
300,"UA",693,"ORD","4-8pm","Sun","May",160,25,"No"
301,"UA",745,"DEN","Noon-4pm","Sun","May",277,-9,"No"
302,"UA",847,"IAD","4-8pm","Sun","May",92,-1,"No"
303,"UA",403,"DEN","4-8am","Mon","May",281,2,"No"
304,"UA",405,"DEN","8-Noon","Mon","May",277,-3,"No"
305,"UA",409,"DEN","4-8pm","Mon","May",279,-3,"No"
306,"UA",511,"ORD","8-Noon","Mon","May",158,-6,"No"
307,"UA",667,"ORD","4-8am","Mon","May",143,-3,"No"
308,"UA",669,"ORD","4-8am","Mon","May",150,-2,"No"
309,"UA",673,"ORD","8-Noon","Mon","May",158,-5,"No"
310,"UA",677,"ORD","8-Noon","Mon","May",160,-6,"No"
311,"UA",679,"ORD","Noon-4pm","Mon","May",160,-4,"No"
312,"UA",681,"ORD","Noon-4pm","Mon","May",160,-8,"No"
313,"UA",683,"ORD","Noon-4pm","Mon","May",163,0,"No"
314,"UA",685,"ORD","Noon-4pm","Mon","May",160,18,"No"
315,"UA",687,"ORD","4-8pm","Mon","May",160,-6,"No"
316,"UA",689,"ORD","4-8pm","Mon","May",163,14,"No"
317,"UA",693,"ORD","4-8pm","Mon","May",160,-7,"No"
318,"UA",695,"ORD","8-Mid","Mon","May",160,185,"Yes"
319,"UA",745,"DEN","Noon-4pm","Mon","May",277,-8,"No"
320,"UA",835,"ORD","8-Noon","Mon","May",160,0,"No"
321,"UA",847,"IAD","4-8pm","Mon","May",92,-6,"No"
322,"UA",403,"DEN","4-8am","Tue","May",281,-2,"No"
323,"UA",405,"DEN","8-Noon","Tue","May",277,-8,"No"
324,"UA",409,"DEN","4-8pm","Tue","May",279,2,"No"
325,"UA",511,"ORD","8-Noon","Tue","May",158,105,"Yes"
326,"UA",667,"ORD","4-8am","Tue","May",143,1,"No"
327,"UA",669,"ORD","4-8am","Tue","May",150,138,"Yes"
328,"UA",673,"ORD","8-Noon","Tue","May",158,-5,"No"
329,"UA",679,"ORD","Noon-4pm","Tue","May",160,-6,"No"
330,"UA",681,"ORD","Noon-4pm","Tue","May",160,-4,"No"
331,"UA",683,"ORD","Noon-4pm","Tue","May",163,-2,"No"
332,"UA",685,"ORD","Noon-4pm","Tue","May",160,-8,"No"
333,"UA",689,"ORD","4-8pm","Tue","May",160,-7,"No"
334,"UA",691,"ORD","4-8pm","Tue","May",160,-5,"No"
335,"UA",693,"ORD","4-8pm","Tue","May",160,-2,"No"
336,"UA",695,"ORD","8-Mid","Tue","May",160,5,"No"
337,"UA",745,"DEN","Noon-4pm","Tue","May",277,-4,"No"
338,"UA",835,"ORD","8-Noon","Tue","May",160,9,"No"
339,"UA",847,"IAD","4-8pm","Tue","May",92,-7,"No"
340,"UA",403,"DEN","4-8am","Wed","May",281,1,"No"
341,"UA",405,"DEN","8-Noon","Wed","May",277,-5,"No"
342,"UA",409,"DEN","4-8pm","Wed","May",279,-4,"No"
343,"UA",511,"ORD","8-Noon","Wed","May",158,-6,"No"
344,"UA",667,"ORD","4-8am","Wed","May",143,-7,"No"
345,"UA",669,"ORD","4-8am","Wed","May",150,3,"No"
346,"UA",673,"ORD","8-Noon","Wed","May",158,-11,"No"
347,"UA",677,"ORD","8-Noon","Wed","May",160,-8,"No"
348,"UA",679,"ORD","Noon-4pm","Wed","May",160,-5,"No"
349,"UA",681,"ORD","Noon-4pm","Wed","May",160,0,"No"
350,"UA",683,"ORD","Noon-4pm","Wed","May",163,-3,"No"
351,"UA",685,"ORD","Noon-4pm","Wed","May",160,-6,"No"
352,"UA",687,"ORD","4-8pm","Wed","May",160,-5,"No"
353,"UA",689,"ORD","4-8pm","Wed","May",160,-2,"No"
354,"UA",691,"ORD","4-8pm","Wed","May",160,-5,"No"
355,"UA",693,"ORD","4-8pm","Wed","May",160,-2,"No"
356,"UA",695,"ORD","8-Mid","Wed","May",160,-8,"No"
357,"UA",745,"DEN","Noon-4pm","Wed","May",277,-1,"No"
358,"UA",835,"ORD","8-Noon","Wed","May",160,-8,"No"
359,"UA",847,"IAD","4-8pm","Wed","May",92,10,"No"
360,"UA",403,"DEN","4-8am","Thu","May",281,-3,"No"
361,"UA",405,"DEN","8-Noon","Thu","May",277,-9,"No"
362,"UA",409,"DEN","4-8pm","Thu","May",279,-2,"No"
363,"UA",511,"ORD","8-Noon","Thu","May",158,14,"No"
364,"UA",667,"ORD","4-8am","Thu","May",143,-6,"No"
365,"UA",669,"ORD","4-8am","Thu","May",150,-4,"No"
366,"UA",673,"ORD","8-Noon","Thu","May",158,0,"No"
367,"UA",677,"ORD","8-Noon","Thu","May",160,-4,"No"
368,"UA",679,"ORD","Noon-4pm","Thu","May",160,-5,"No"
369,"UA",681,"ORD","Noon-4pm","Thu","May",160,4,"No"
370,"UA",683,"ORD","Noon-4pm","Thu","May",163,-7,"No"
371,"UA",685,"ORD","Noon-4pm","Thu","May",160,-8,"No"
372,"UA",687,"ORD","4-8pm","Thu","May",160,-6,"No"
373,"UA",689,"ORD","4-8pm","Thu","May",160,8,"No"
374,"UA",691,"ORD","4-8pm","Thu","May",160,-8,"No"
375,"UA",693,"ORD","4-8pm","Thu","May",160,-1,"No"
376,"UA",695,"ORD","8-Mid","Thu","May",160,-5,"No"
377,"UA",745,"DEN","Noon-4pm","Thu","May",277,-7,"No"
378,"UA",835,"ORD","8-Noon","Thu","May",160,-10,"No"
379,"UA",847,"IAD","4-8pm","Thu","May",92,17,"No"
380,"UA",403,"DEN","4-8am","Fri","May",281,0,"No"
381,"UA",405,"DEN","8-Noon","Fri","May",277,1,"No"
382,"UA",409,"DEN","4-8pm","Fri","May",279,-1,"No"
383,"UA",511,"ORD","8-Noon","Fri","May",158,0,"No"
384,"UA",667,"ORD","4-8am","Fri","May",143,-4,"No"
385,"UA",669,"ORD","4-8am","Fri","May",150,-1,"No"
386,"UA",673,"ORD","8-Noon","Fri","May",158,-7,"No"
387,"UA",677,"ORD","8-Noon","Fri","May",160,-2,"No"
388,"UA",679,"ORD","Noon-4pm","Fri","May",160,-6,"No"
389,"UA",681,"ORD","Noon-4pm","Fri","May",160,105,"Yes"
390,"UA",683,"ORD","Noon-4pm","Fri","May",163,0,"No"
391,"UA",685,"ORD","Noon-4pm","Fri","May",160,-4,"No"
392,"UA",687,"ORD","4-8pm","Fri","May",160,-5,"No"
393,"UA",689,"ORD","4-8pm","Fri","May",160,7,"No"
394,"UA",691,"ORD","4-8pm","Fri","May",160,0,"No"
395,"UA",693,"ORD","4-8pm","Fri","May",160,-7,"No"
396,"UA",695,"ORD","8-Mid","Fri","May",160,0,"No"
397,"UA",745,"DEN","Noon-4pm","Fri","May",277,-2,"No"
398,"UA",835,"ORD","8-Noon","Fri","May",160,-2,"No"
399,"UA",847,"IAD","4-8pm","Fri","May",92,11,"No"
400,"UA",403,"DEN","4-8am","Sat","May",280,-5,"No"
401,"UA",405,"DEN","8-Noon","Sat","May",274,5,"No"
402,"UA",511,"ORD","8-Noon","Sat","May",158,240,"Yes"
403,"UA",561,"ORD","Noon-4pm","Sat","May",160,-4,"No"
404,"UA",673,"ORD","8-Noon","Sat","May",160,18,"No"
405,"UA",677,"ORD","8-Noon","Sat","May",160,5,"No"
