"","m.impr_post","m.impr_pre","m.click_post","m.click_pre","m.cost_post","m.cost_pre","m.conv_post","m.conv_pre","m.value_post","m.value_pre","m.cpm_pre","m.cpm_post","m.cpc_pre","m.cpc_post","m.cpa_pre","m.cpa_post","m.cpr_pre","m.cpr_post","mult.change","d.impr_post","d.impr_pre","d.click_post","d.click_pre","d.cost_post","d.cost_pre","d.conv_post","d.conv_pre","d.value_post","d.value_pre","d.cpm_pre","d.cpm_post","d.cpc_pre","d.cpc_post","d.cpa_pre","d.cpa_post","d.cpr_pre","d.cpr_post","error.cpr_pre","error.cpr_post"
"53",912,372,21,16,37.75,34.79,2,5,42,62.1,0.093521505,0.041392544,2.174375,1.797619048,6.958,18.875,0.560225443,0.898809524,-0.07,248,120,9,6,12.51,9.3,0,0,0,0,0.0775,0.050443548,1.55,1.39,0,0,0,0,0.560225443,0.898809524
"54",0,1351,0,43,0,64.22,0,1,0,0,0.047535159,0,1.493488372,0,64.22,0,0,0,-0.12,3989,5183,64,73,79.56,76.85,9,11,158.55,190.39,0.01482732,0.019944848,1.052739726,1.243125,6.986363636,8.84,0.403645149,0.50179754,0.403645149,0.50179754
"55",566,314,16,11,28.3,17.02,1,5,0,69.1,0.054203822,0.05,1.547272727,1.76875,3.404,28.3,0.246309696,0,0.03,902,677,27,13,30.2,15.17,6,0,106.23,0,0.022407681,0.033481153,1.166923077,1.118518519,0,5.033333333,0,0.284288807,0.246309696,0.284288807
"56",641,870,24,19,47.53,27.39,2,7,21.55,202.44,0.031482759,0.074149766,1.441578947,1.980416667,3.912857143,23.765,0.135299348,2.205568445,0.2,931,1323,43,31,90.81,53.87,14,15,319.35,189.25,0.040718065,0.097540279,1.737741935,2.111860465,3.591333333,6.486428571,0.284649934,0.284358854,0.149350586,1.921209592
"57",5612,1816,128,54,256.25,84.68,20,9,387.83,125.66,0.046629956,0.045661083,1.568148148,2.001953125,9.408888889,12.8125,0.673881904,0.660727638,0.2,4989,3722,76,98,143.26,174.99,9,30,84.11,395.73,0.047015046,0.028715173,1.785612245,1.885,5.833,15.91777778,0.442195436,1.70324575,0.231686467,1.042518111
"58",570,1173,22,49,27.24,73.01,1,7,0,64.65,0.062242114,0.047789474,1.49,1.238181818,10.43,27.24,1.129311678,0,0,1994,2106,106,105,174.97,147.95,16,16,127.65,199.43,0.070251662,0.087748245,1.409047619,1.650660377,9.246875,10.935625,0.741864313,1.370701136,0.387447365,1.370701136
"59",2242,1500,41,46,63.37,68.3,10,3,144.92,0,0.045533333,0.028264942,1.484782609,1.545609756,22.76666667,6.337,0,0.437275738,0.02,7221,5024,111,105,186.22,175.21,27,13,201.27,127.97,0.034874602,0.025788672,1.668666667,1.677657658,13.47769231,6.897037037,1.369149019,0.925224822,1.369149019,0.487949084
"60",51,1517,0,29,0,18.48,0,0,0,0,0.012181938,0,0.637241379,0,0,0,0,0,-0.06,328353,377759,1218,1389,1260.75,1344.96,95,127,727.61,1010.11,0.003560365,0.003839618,0.968293737,1.035098522,10.59023622,13.27105263,1.33149855,1.732727698,1.33149855,1.732727698
"61",3019,2053,62,55,84.76,59.32,5,5,79.74,61.29,0.028894301,0.028075522,1.078545455,1.367096774,11.864,16.952,0.967857726,1.062954602,-0.12,26707,15759,203,207,177.55,215.07,14,21,436.42,394.09,0.01364744,0.00664807,1.038985507,0.874630542,10.24142857,12.68214286,0.545738283,0.406832867,0.422119442,0.656121735
"62",1306,27193,17,466,25.1,601.84,0,29,0,184.63,0.022132166,0.019218989,1.291502146,1.476470588,20.75310345,0,3.259708606,0,-1.43,30457,29177,167,146,308.52,239.2,13,12,228.58,286.44,0.008198238,0.010129691,1.638356164,1.84742515,19.93333333,23.73230769,0.8350789,1.349724385,2.424629707,1.349724385
"63",1398,2068,18,43,35.47,102.24,4,0,112.2,0,0.049439072,0.02537196,2.377674419,1.970555556,0,8.8675,0,0.316131907,-0.3,13704,13808,234,267,343.96,434.85,21,26,543.47,476.12,0.031492613,0.025099241,1.628651685,1.46991453,16.725,16.37904762,0.913320171,0.63289602,0.913320171,0.316764113
"64",973,1386,20,32,20.15,43.35,0,0,0,0,0.031277056,0.020709147,1.3546875,1.0075,0,0,0,0,-0.19,12734,10298,176,172,234.42,214.38,21,17,546.86,263.35,0.020817634,0.018408984,1.246395349,1.331931818,12.61058824,11.16285714,0.814049744,0.428665472,0.814049744,0.428665472
"65",803,1601,19,51,16.73,52.1,4,8,16,23.94,0.032542161,0.020834371,1.021568627,0.880526316,6.5125,4.1825,2.176274018,1.045625,-0.9,507,1687,31,84,17.63,53.96,6,7,23.94,47.88,0.031985774,0.034773176,0.642380952,0.568709677,7.708571429,2.938333333,1.126984127,0.736424394,1.049289891,0.309200606
"66",767,5700,19,111,27.47,233.88,4,16,0,77.94,0.041031579,0.035814863,2.107027027,1.445789474,14.6175,6.8675,3.000769823,0,-1.64,9818,14646,107,204,135.27,272.99,24,34,234.67,357.46,0.018639219,0.013777755,1.338186275,1.264205607,8.029117647,5.63625,0.76369384,0.576426471,2.237075983,0.576426471
"67",2018,3891,20,59,9.35,30.44,0,0,0,0,0.007823182,0.0046333,0.515932203,0.4675,0,0,0,0,-0.03,40957,37883,165,174,93.98,106.65,2,15,0,55.8,0.002815247,0.002294602,0.612931034,0.569575758,7.11,46.99,1.911290323,0,1.911290323,0
"68",1888,1238,52,39,50.36,31,5,1,21.35,0,0.025040388,0.026673729,0.794871795,0.968461538,31,10.072,0,2.358782201,-0.14,3240,3944,46,45,42.28,42.98,9,6,64.2,86.29,0.010897566,0.013049383,0.955111111,0.919130435,7.163333333,4.697777778,0.498087843,0.658566978,0.498087843,1.700215223
"69",2667,1692,45,23,61.5,23,6,6,87.33,34.45,0.013593381,0.023059618,1,1.366666667,3.833333333,10.25,0.667634253,0.704225352,0.02,6413,7571,39,37,33.2,41.79,0,6,0,16,0.005519746,0.005176984,1.129459459,0.851282051,6.965,0,2.611875,0,1.944240747,0.704225352
"70",7503,5628,97,62,151.51,110.37,6,6,16,82.79,0.019610874,0.020193256,1.78016129,1.561958763,18.395,25.25166667,1.333132021,9.469375,-0.12,2619,5280,24,44,21.54,52.32,0,5,0,16,0.009909091,0.008224513,1.189090909,0.8975,10.464,0,3.27,0,1.936867979,9.469375
"71",3246,1874,100,55,98.8,52.01,7,5,31.35,72.49,0.027753469,0.030437461,0.945636364,0.988,10.402,14.11428571,0.717478273,3.151515152,0.28,2544,4185,15,45,12.46,46.67,0,6,0,31.35,0.011151732,0.004897799,1.037111111,0.830666667,7.778333333,0,1.488676236,0,0.771197963,3.151515152
"72",778,3452,8,63,5.48,60.81,2,2,55.29,0,0.017615875,0.007043702,0.965238095,0.685,30.405,2.74,0,0.099113764,-0.15,11474,11652,62,104,71.61,126.42,6,12,156.45,75.54,0.01084964,0.006241067,1.215576923,1.155,10.535,11.935,1.673550437,0.457718121,1.673550437,0.358604357
"73",1727,956,31,15,50.58,18.18,1,4,0,69.35,0.019016736,0.029287782,1.212,1.631612903,4.545,50.58,0.262148522,0,0.73,5050,5336,36,31,51.97,39.71,8,8,65.8,0,0.007441904,0.010291089,1.280967742,1.443611111,4.96375,6.49625,0,0.789817629,0.262148522,0.789817629
"74",2665,1438,38,18,55.58,28.59,4,4,0,44.24,0.01988178,0.020855535,1.588333333,1.462631579,7.1475,13.895,0.64624774,0,-0.07,4792,7465,25,46,39.57,81.68,3,1,29.81,87.8,0.010941728,0.008257513,1.775652174,1.5828,81.68,13.19,0.930296128,1.32740691,0.284048388,1.32740691
"75",1227,648,24,15,43.12,22.04,2,4,73.74,30.1,0.034012346,0.035142624,1.469333333,1.796666667,5.51,21.56,0.732225914,0.584757255,0.48,3392,3619,21,25,28.45,37.6,12,6,263.29,146.48,0.01038961,0.008387382,1.504,1.354761905,6.266666667,2.370833333,0.256690333,0.108055756,0.47553558,0.476701499
"76",1181,811,40,29,34.78,27.53,0,2,0,0,0.033945746,0.029449619,0.949310345,0.8695,13.765,0,0,0,-0.05,4702,5720,62,59,59.18,63.18,8,6,120.57,31.35,0.011045455,0.012586134,1.070847458,0.954516129,10.53,7.3975,2.015311005,0.490835199,2.015311005,0.490835199
"77",147,1416,8,44,10.57,54.27,2,4,0,15.35,0.038326271,0.071904762,1.233409091,1.32125,13.5675,5.285,3.535504886,0,-0.89,1938,2085,92,141,91.11,148.52,6,11,55.29,153.43,0.071232614,0.047012384,1.053333333,0.990326087,13.50181818,15.185,0.967998436,1.647856755,2.56750645,1.647856755
"78",2207,2458,37,45,38.43,52.17,1,2,0,0,0.021224573,0.017412778,1.159333333,1.038648649,26.085,38.43,0,0,-0.23,6167,10392,49,55,46.66,54.31,3,6,72.69,16,0.005226135,0.007566078,0.987454545,0.952244898,9.051666667,15.55333333,3.394375,0.641903976,3.394375,0.641903976
"79",290,223,21,16,22.68,15.86,2,4,0,56.55,0.071121076,0.078206897,0.99125,1.08,3.965,11.34,0.28045977,0,0,2225,2421,40,79,27.64,63.99,6,0,0,0,0.026431227,0.012422472,0.81,0.691,0,4.606666667,0,0,0.28045977,0
"80",12889,15225,804,825,479.28,476.81,64,64,444.07,423.38,0.03131757,0.037185197,0.577951515,0.596119403,7.45015625,7.48875,1.126198687,1.079289301,0,4919,8252,283,366,123.62,190.11,36,21,119.17,89.41,0.023038051,0.025131124,0.51942623,0.436819788,9.052857143,3.433888889,2.126272229,1.037341613,1.000073542,0.041947688
"81",2747,1164,31,16,38.06,24.32,2,3,0,59.04,0.020893471,0.013855115,1.52,1.227741935,8.106666667,19.03,0.411924119,0,0.22,33443,17968,175,112,322.77,195.13,15,15,335.08,340.69,0.010859862,0.009651347,1.742232143,1.8444,13.00866667,21.518,0.57274942,0.963262504,0.160825301,0.963262504
"82",2034,1266,24,9,42.09,14.32,2,3,0,31.35,0.011311216,0.020693215,1.591111111,1.75375,4.773333333,21.045,0.456778309,0,-0.07,1003,3252,7,30,4,32.78,0,9,0,31.35,0.010079951,0.003988036,1.092666667,0.571428571,3.642222222,0,1.045614035,0,0.588835726,0
"83",3827,1888,215,106,120.97,82.66,16,6,87.8,0,0.04378178,0.031609616,0.779811321,0.562651163,13.77666667,7.560625,0,1.377790433,-0.47,4885,5303,182,235,107.94,146.12,14,28,230.72,266.83,0.027554215,0.022096213,0.621787234,0.593076923,5.218571429,7.71,0.547614586,0.467839806,0.547614586,0.909950627
"84",2355,2293,50,50,32.55,38.39,0,3,0,49.8,0.016742259,0.013821656,0.7678,0.651,12.79666667,0,0.770883534,0,0.01,7473,7515,161,137,153.62,142.34,13,3,107.07,16,0.018940785,0.020556671,1.038978102,0.954161491,47.44666667,11.81692308,8.89625,1.434762305,8.125366466,1.434762305
"85",299,4346,3,82,1.9,67.95,0,8,0,21.35,0.015635067,0.006354515,0.828658537,0.633333333,8.49375,0,3.182669789,0,-0.69,53935,38499,306,303,233.53,249.83,14,23,207.99,160.54,0.006489259,0.004329841,0.824521452,0.763169935,10.86217391,16.68071429,1.556185374,1.122794365,1.626484415,1.122794365
"86",1177,4580,71,221,51.64,261.64,3,14,0,144.18,0.057126638,0.043874257,1.183891403,0.727323944,18.68857143,17.21333333,1.814676099,0,-0.63,3745,9416,268,406,198.7,344.8,28,38,265.98,378.26,0.036618522,0.05305741,0.849261084,0.74141791,9.073684211,7.096428571,0.911542325,0.74704865,0.903133774,0.74704865
