"Date2010","AveKW","AveSpeed","Production"
"May 25",360,6,8606
"May 26",195.3,5.6,4669
"May 27",257.5,6.5,6179
"May 28",347.5,6.9,8334
"May 29",765.5,9.3,18370
"May 30",643.5,8.2,15432
"May 31",144.3,4.2,3410
"Jun 01",571.9,7.8,13718
"Jun 02",101.6,4.4,2405
"Jun 03",136.2,4.4,3222
"Jun 04",400.2,6.8,995
"Jun 05",142.6,5.2,3399
"Jun 06",338.1,6.3,8096
"Jun 07",55.1,3.4,1261
"Jun 08",633.3,8.3,15200
"Jun 09",869.4,9.6,20866
"Jun 10",383.9,7.1,9212
"Jun 11",624.9,8.3,14984
"Jun 12",170.3,5.4,4073
"Jun 13",14.9,3.3,309
"Jun 14",259.5,6.1,6218
"Jun 15",282,6.4,6762
"Jun 16",184.4,4.8,4384
"Jun 17",1079.3,12.6,25896
"Jun 18",687.2,8.8,16490
"Jun 19",602.9,7.7,14453
"Jun 20",30.1,3.7,674
"Jun 21",127,4.9,3017
"Jun 22",408.2,7,9785
"Jun 23",531,7.5,12731
"Jun 24",156.6,4.3,3713
"Jun 25",743.4,9.2,17841
"Jun 26",114,3.7,2681
"Jun 27",356.1,5.6,8511
"Jun 28",676.7,8.5,16241
"Jun 29",76.2,4.2,1787
"Jun 30",171.8,5,4094
"Jul 01",973.7,10.2,23367
"Jul 03",1238.8,11.5,29731
"Jul 04",533.1,7.6,12793
"Jul 05",54.3,3.7,1258
"Jul 06",18.5,2.6,379
"Jul 07",113,4,2671
"Jul 08",144.9,5.5,3470
"Jul 09",162.9,5.5,3899
"Jul 10",564.9,7.9,13549
"Jul 11",462.7,6.9,11090
"Jul 12",102.7,4.3,2417
"Jul 13",442.7,7.5,10617
"Jul 14",953.6,10.2,22882
"Jul 15",439.2,7.6,10542
"Jul 16",382.5,7,9177
"Jul 17",385.1,6.2,9214
"Jul 18",459.7,7.6,11034
"Jul 19",59.1,3.1,1349
"Jul 20",129.6,5.3,3096
"Jul 21",123,4.4,2910
"Jul 22",444,6.5,10630
"Jul 23",120.2,4.6,2848
"Jul 24",311.7,7,7470
"Jul 25",32.6,3.3,720
"Jul 26",259.9,6.5,6235
"Jul 27",696.8,9,16722
"Jul 28",248.4,6.4,5959
"Jul 29",2.2,2.2,0
"Jul 30",140.3,5.2,3340
"Jul 31",27.1,3.5,595
"Aug 01",231.7,6,5548
